thScr,heat
0.999999,0
0.999999914,6.46241365
0.999999977,15.4059025
0.999999876,24.77566066
0.999988952,33.93596589
0.999989283,42.63674975
0.999999871,50.78450715
0.999999999,53.70916907
1,48.27634359
1,43.72393167
1,39.91322616
1,36.69392444
1,34.0000241
1,31.60184158
1,29.57009308
1,28.00931636
1,28.75627938
1,33.4856382
1,37.64856043
1,37.77836206
1,35.73817944
1,34.00371736
1,33.16587455
1,33.74598495
1,35.05178774
1,36.27955084
1,36.42296212
1,35.54697232
1,34.46265476
1,33.89618767
1,34.03969552
1,34.56154533
1,34.89061635
1,34.70099215
1,34.17207183
1,33.61430489
1,33.37242019
1,33.6132729
1,34.22602988
1,34.86396321
1,35.3238043
1,35.62809072
1,35.91835283
1,36.34280998
1,36.90601038
1,37.49104701
1,38.01016607
1,38.37845088
1,38.42987159
1,38.39433247
1,38.11377193
1,37.7568631
1,37.32226446
1,36.86539015
1,36.40024965
1,35.91633912
1,35.43263111
1,34.95268975
1,34.49314093
1,34.17827791
1,33.88242183
1,33.94536158
1,34.00830133
1,34.41634485
1,34.83248161
1,35.29107471
1,35.7541836
1,36.07508111
1,36.36698281
1,36.58938284
1,36.78952295
1,36.98309065
1,37.16964456
1,37.33195703
1,37.40312903
1,37.47430104
1,37.38026609
1,37.27501754
1,37.15544709
1,37.02858969
1,36.95491053
1,36.96471597
1,36.98171692
1,37.05384231
1,37.12596769
1,37.14171353
1,37.1149641
1,37.01578734
1,36.86234887
1,36.70557755
1,36.54632439
1,36.43590718
1,36.36163664
1,36.32164232
1,36.3068646
1,36.31587467
1,36.34227917
1,36.4249512
1,36.73320613
1,37.44367773
1,38.58380963
1,39.8992327
1,41.11577672
1,42.08478112
1,42.792482
1,43.36939732
1,43.95226501
1,44.519668
1,44.95250509
1,44.95916759
1,44.45599619
1,43.48887162
1,42.30380335
1,41.11126214
1,39.96704907
1,38.82304374
1,37.6324301
1,36.41590194
1,35.22160815
0.999999999,34.11714492
0.999999998,33.30697977
0.999999997,32.85630406
0.999999995,32.69115785
0.999999992,32.78770859
0.999999986,32.89227563
0.999999977,32.82473273
0.999999964,32.61867414
0.999999946,32.30959641
0.999999922,32.04241835
0.999999896,31.8812661
0.999999871,31.81825862
0.999999853,31.77122698
0.999999846,31.63785433
0.999999873,31.32097655
0.99999991,30.89603114
0.999999952,30.35600816
0.999999975,29.72885272
0.99999999,29.09368479
0.999999997,28.45945667
0.999999999,27.87058846
1,27.32704803
1,26.82779745
1,26.39513677
1,26.03985449
1,25.80214764
1,25.73396736
1,25.99681863
1,26.87793032
1,28.4679901
1,30.56721939
1,32.8487162
1,34.95849199
1,36.72182761
1,38.18363532
1,39.4501594
1,40.54508721
1,41.30887509
1,41.51711416
1,41.15620498
1,40.23671752
1,39.11821428
1,37.9153939
1,36.74820386
1,35.67721016
1,34.62306983
0.999999999,33.5738012
0.999999997,32.51749711
0.999999989,31.57623827
0.999999967,30.82652152
0.999999924,30.33507857
0.999999651,30.43727186
0.999998378,30.78668798
0.999994421,31.31003506
0.999978778,31.77069138
0.999898406,31.98151951
0.999674895,32.04541643
0.99910677,32.01717438
0.997611736,32.27132516
0.994981809,33.17684521
0.992151658,34.69643488
0.99023366,36.6708939
0.990742019,37.94535258
0.992001506,37.76099087
0.993554031,36.56617381
0.995141364,35.30443749
0.996462362,34.70440414
0.997493483,35.04288418
0.998200644,36.13143418
0.998689493,37.07505884
0.999013376,37.4027712
0.999218735,37.20076362
0.999331411,36.94908912
0.999368355,37.05113308
0.999342987,37.56787049
0.999272142,38.14596114
0.999152061,38.44542016
0.998974486,38.39437843
0.999454966,38.20308468
0.999882283,38.08216382
0.999998476,38.12637934
0.999999981,38.33116312
1,38.60023739
1,38.77829662
1,38.86208164
1,38.83326173
1,38.07905714
1,36.76986556
1,35.6086761
1,34.97268417
1,34.96122003
1,35.25935873
1,35.44167612
1,35.28110805
1,34.8056024
1,34.15213042
1,33.55992241
1,33.27453335
1,33.96728349
1,35.4207216
1,36.79860124
1,37.2638459
1,37.01004525
1,36.7189341
1,36.76546139
1,37.28810593
1,38.06788861
1,38.71245176
1,38.94437948
1,38.78152752
1,38.42316545
1,38.05169846
1,37.76864729
1,37.55308597
1,37.2888094
1,36.99872245
1,36.63104366
1,36.19791183
1,35.77509144
1,35.39484241
1,35.08844331
1,34.94729926
1,34.80615522
1,34.79691307
1,34.83483643
1,34.85580066
1,34.85710039
1,34.87770737
1,34.9002868
1,34.95077852
1,35.00166142
1,35.05602611
1,35.08889209
1,35.1015981
1,35.08003539
1,35.04453122
1,35.00857735
1,34.98222751
1,34.97792602
1,34.97744808
1,34.98484814
1,34.99188672
1,34.98712163
1,34.98015986
1,34.96177793
1,34.93121623
1,34.86676091
1,34.80230559
1,34.69591989
1,34.51923927
1,34.34255864
1,34.12519455
1,33.86426535
1,33.60333615
1,33.38678746
1,33.20080395
1,33.01482044
1,33.1023614
1,42.24925599
1,50.27164366
1,49.60022103
1,45.05626865
1,41.20803678
1,37.98103944
1,35.31376931
1,33.81491234
1,35.67241905
1,40.1109887
1,42.68207796
1,41.89241371
1,39.65312371
1,37.98351865
1,37.79386375
1,38.90611463
1,40.19167512
1,40.20118273
1,39.15023562
1,37.85078384
1,37.34472248
1,37.71122056
1,38.37670792
1,38.64527346
1,38.3771459
1,38.01645767
1,38.05219515
1,38.72458147
1,39.82106387
1,40.84968952
1,41.45084239
1,41.69271212
1,41.84550574
1,42.2182708
1,42.91559262
1,43.64448095
1,43.86291304
1,43.47806752
1,42.71243254
1,41.9045911
1,41.31910162
1,40.9812845
1,40.80437665
1,40.43212554
1,39.84877536
1,39.05372344
1,38.26106521
1,37.79126809
1,37.64873605
1,37.82734509
1,38.10981087
1,38.14576766
1,37.95050866
1,37.53325117
1,37.14835614
1,37.030823
1,37.11597175
1,37.35520976
1,37.54637625
1,37.57631593
1,37.44313101
1,37.22277348
1,37.0284395
1,36.99056635
1,37.06089681
1,37.18010609
1,37.29455299
1,37.26496344
1,37.15339618
1,37.03120695
1,36.98514592
1,36.96812552
1,36.99119708
1,36.99143285
1,36.89789115
1,36.74589688
1,36.49414443
1,36.20163096
1,35.89596908
1,35.59593389
1,35.36778363
1,35.14118535
1,35.02626639
1,34.95327611
1,34.94645063
1,35.1031645
1,35.5700039
1,36.42708406
1,37.67592874
1,39.03559586
1,40.3512856
1,41.50073596
1,42.45051569
1,43.27319271
1,44.0105017
1,44.55256834
1,44.80186641
1,44.51547574
1,43.79071045
1,42.84837654
1,41.90438604
1,41.04071122
1,40.21182996
1,39.42350167
1,38.61993112
1,37.81024867
1,37.05384109
0.999999991,36.46891892
0.999998171,36.19338049
0.999929602,36.32539055
0.998627726,36.94103248
0.902112752,40.84068582
0.103497856,52.57417322
0.067033291,62.15426858
0.05057173,70.57868271
0.037857567,78.16612175
0.028280458,84.85951176
0.020844409,90.05273524
0.014587402,92.11351433
0.009899535,84.73677695
0.006258644,77.12400932
0.003704196,71.73936899
0.00210382,71.16132243
0.001146302,74.09076399
0.000621265,75.37942317
0.000340036,72.51951923
0.00019356,68.30201259
0.000116988,65.08255244
7.6815577758872e-05,63.65326959
5.43891420633592e-05,63.54360833
4.34401683617676e-05,63.52214711
4.55496315935072e-05,62.71218471
9.29493393510808e-05,61.7374623
0.000459267,61.66971264
0.00442599,63.2715654
0.042779069,66.25300945
0.479878181,69.5650064
0.961360401,67.44545801
0.998531967,59.59563008
0.999931042,53.39964259
0.999995534,48.4668771
0.999999414,44.43731331
0.99999988,40.99914158
0.999999936,38.02254536
0.999999921,35.40688456
0.999999877,33.0331607
0.999999702,30.91397738
0.999999243,29.06331907
0.999997866,28.07857201
0.999992187,30.33549276
0.999969648,34.4053999
0.999872492,35.73058786
0.999480479,34.09425165
0.997931443,31.87351745
0.992383985,30.03604235
0.975360406,30.39446221
0.921939267,38.73994443
0.75141017,49.49819771
0.413442998,59.13298819
0.140118983,67.40114802
0.033158078,74.44410491
0.007794646,74.78700992
0.001911732,67.79516496
0.000618625,61.40002994
0.00020032,55.88224735
8.29586355177554e-05,51.15063477
5.15799862226941e-05,47.13907267
3.99778806010178e-05,43.66129723
4.16416403377451e-05,42.08934459
4.58873376417944e-05,44.47784027
5.33162821268772e-05,49.81000095
6.43995629630385e-05,52.77883664
7.9754119953038e-05,51.66928904
0.000100044,49.42543784
0.000125716,48.37970198
0.000155766,49.24482553
0.000187434,51.72607291
0.000217575,53.62352138
0.000241777,53.87623135
0.000248133,52.98266932
0.00023354,52.47611166
0.000202408,53.04922231
0.000162974,54.26304345
0.000122652,55.12841778
8.92267738192132e-05,55.29492597
6.40724873358476e-05,55.06597199
4.5718323474363e-05,54.91927208
3.3189887921709e-05,55.10789911
2.49973180455102e-05,55.6284768
2.00341448542084e-05,56.23157826
1.69036629491696e-05,56.7554257
1.65753459620853e-05,57.04042715
1.98282463480742e-05,57.2596811
2.87576886539711e-05,57.50630379
4.64809231115002e-05,57.87156196
0.000115221,58.48262514
0.000287016,59.15041598
0.000622301,59.88572213
0.002062644,60.50154013
0.005345986,61.05011811
0.013267953,61.48078244
0.036380073,61.97973634
0.069471468,62.53935665
0.137165368,63.40957481
0.241987143,64.46406972
0.39491637,65.43957831
0.566078205,65.9838293
0.722532678,65.41465075
0.852494532,63.15382774
0.998456483,56.22667171
0.999986751,50.14376281
0.999999849,45.3180647
0.999999999,41.32469225
1,37.95753821
1,35.09875517
1,32.58210964
1,30.34366029
1,28.36436405
1,26.56801732
1,24.92549243
1,23.41706906
1,22.03785162
1,21.00209505
1,20.18465666
1,20.49961416
1,21.92549748
1,23.1480328
1,23.43774215
1,23.26601299
1,23.24069813
1,23.5132341
1,23.96749117
1,24.49862885
1,24.97850815
1,25.33400418
1,25.58642387
1,25.77901914
1,26.02002258
1,26.32714385
1,26.75519317
1,27.18223561
1,27.5742834
1,27.88902714
1,28.12868825
1,28.41148763
1,28.78577728
1,29.20336281
1,29.6072281
1,29.94995093
1,30.21721031
1,30.40658564
1,30.547172
1,30.61625653
1,30.66245364
1,30.67120535
1,30.64377092
1,30.57885014
1,30.48277947
1,30.37101532
1,30.26798177
1,30.17218643
1,30.10210353
1,30.0480339
1,30.01223794
1,29.98495864
1,29.95100411
1,29.89674574
1,29.77450382
1,29.59924733
1,29.37323596
1,29.09142746
1,28.80410915
1,28.51483
1,28.27633652
1,28.05382843
1,27.93197773
1,27.83791474
1,27.84691651
1,27.90664535
1,28.03070447
1,28.19063652
1,28.36836944
1,28.55041264
1,28.73306131
1,28.91405547
1,29.09176771
1,29.25124881
