tOut,tSoOut,wind
5.1,9.590123007,6.7
5.050562656,9.589850217,6.723205134
5.002201758,9.589577427,6.750549069
4.955101339,9.589304639,6.78209831
4.909292514,9.589031852,6.817367085
4.864840994,9.588759066,6.856034132
4.821923469,9.588486282,6.898006422
4.78054467,9.588213499,6.942815007
4.740773451,9.587940717,6.990167069
4.702959309,9.587667937,7.040093675
4.666806478,9.587395157,7.091821825
4.632443222,9.587122379,7.145191678
4.600564328,9.586849603,7.203184417
4.570338686,9.586576828,7.272355958
4.541677286,9.586304053,7.354408501
4.514474886,9.58603128,7.450162987
4.488984337,9.585758509,7.558448899
4.464419529,9.585485739,7.67067901
4.440678151,9.58521297,7.782860879
4.417408251,9.584940202,7.891225169
4.394444445,9.584667436,7.988135231
4.371453506,9.58439467,8.072804833
4.348238069,9.584121907,8.140210477
4.32433981,9.583849144,8.178069766
4.299854822,9.583576383,8.189083136
4.274490267,9.583303623,8.133061699
4.24854469,9.583030865,8.003744617
4.222180463,9.582758107,7.807615664
4.195555556,9.582485351,7.547586337
4.168959793,9.582212597,7.256591366
4.142586634,9.581939843,6.950000002
4.116634053,9.581667091,6.644310103
4.091300024,9.58139434,6.356019529
4.066844645,9.581121591,6.104732238
4.043392656,9.580848843,5.903912976
4.021169207,9.580576096,5.771249079
4.000203256,9.58030335,5.731318651
3.980157989,9.580030606,5.819238758
3.960538238,9.579757863,6.056062616
3.941300081,9.579485121,6.429116715
3.922522439,9.579212381,6.898722481
3.90429777,9.578939642,7.432982658
3.886728644,9.578666904,7.999643408
3.86997079,9.578394168,8.564605421
3.854094718,9.578121433,9.088945959
3.83906627,9.577848699,9.551491918
3.824939581,9.577575967,9.930713613
3.81179248,9.577303235,10.20291657
3.80056785,9.577030506,10.22033967
3.789872222,9.576757777,10.16430012
3.780667131,9.57648505,9.901269345
3.772157773,9.576212325,9.542227336
3.764356374,9.5759396,9.085487062
3.757082141,9.575666877,8.555997895
3.750003532,9.575394154,7.999512646
3.742915596,9.575121434,7.444314453
3.73566226,9.574848715,6.911941524
3.727735147,9.574575998,6.472549767
3.719580026,9.57430328,6.064623148
3.709807178,9.574030566,5.879942739
3.699883253,9.573757851,5.709972508
3.687107414,9.573485139,5.817687755
3.674331574,9.573212427,5.925403003
3.658735135,9.572939718,6.20292515
3.643072548,9.572667009,6.484429542
3.625730612,9.572394302,6.839093175
3.608210055,9.572121596,7.201538253
3.589969635,9.571848892,7.557106401
3.57158244,9.571576188,7.911272395
3.553321539,9.571303487,8.185350023
3.535101087,9.571030786,8.433777023
3.517498161,9.570758087,8.591382006
3.500554232,9.57048539,8.65206575
3.483936994,9.570212693,8.7
3.468548018,9.569939998,8.7
3.453159043,9.569667303,8.7
3.438239455,9.569394612,8.7
3.423351727,9.56912192,8.7
3.407992275,9.568849231,8.7
3.392392809,9.568576542,8.7
3.376069365,9.568303855,8.7
3.358609345,9.56803117,8.7
3.340770889,9.567758485,8.699424579
3.320033253,9.567485803,8.694440889
3.299295617,9.56721312,8.689457198
3.277259898,9.56694044,8.644169301
3.254245769,9.566667761,8.568502677
3.229871652,9.566395084,8.450326457
3.204478649,9.566122407,8.300302524
3.176758621,9.565849733,8.131505676
3.147305739,9.565577059,7.948729292
3.114553812,9.565304387,7.771040017
3.079360048,9.565031716,7.597116041
3.039890233,9.564759047,7.452262539
2.997274582,9.564486379,7.32879583
2.947770486,9.564213712,7.258919359
2.893229329,9.563941046,7.228229876
2.813032569,9.563668382,7.298141225
2.686490802,9.56339572,7.517541542
2.526272634,9.563123058,7.842036537
2.334095591,9.562850399,8.271081126
2.128981956,9.56257774,8.747916348
1.919346475,9.562305083,9.249999997
1.714639762,9.562032427,9.750345302
1.524696824,9.561759773,10.2221973
1.359633391,9.56148712,10.63739431
1.229565192,9.561214469,10.96777462
1.145909181,9.560941818,11.18184973
1.105499294,9.560669169,11.27951525
1.124451201,9.560396522,11.17318555
1.175008732,9.560123876,10.90996607
1.255235458,9.559851231,10.49924379
1.359153644,9.559578588,9.976374791
1.480678425,9.559305946,9.379047245
1.612349266,9.559033305,8.75050502
1.748483184,9.558760666,8.122597743
1.882430546,9.558488029,7.54165931
2.009204548,9.558215392,7.030477457
2.124866601,9.557942757,6.612344933
2.225411013,9.557670123,6.311846198
2.297355783,9.557397491,6.224393957
2.359326325,9.55712486,6.244879791
2.41857778,9.556852231,6.319199841
2.477172342,9.556579603,6.438070166
2.534145283,9.556306976,6.589322451
2.587554425,9.556034351,6.765862678
2.638199208,9.555761727,6.94999041
2.682530631,9.555489105,7.134228467
2.720944234,9.555216484,7.305969957
2.752638776,9.554943864,7.456505967
2.776764014,9.554671246,7.577118003
2.791642224,9.554398629,7.655790497
2.796617315,9.554126013,7.686776747
2.773777625,9.553853399,7.616885854
2.73206805,9.553580787,7.485966233
2.668983534,9.553308175,7.289224885
2.578454122,9.553035566,7.013927809
2.478861726,9.552762957,6.716224907
2.371198285,9.55249035,6.400293652
2.257375438,9.552217744,6.082814984
2.146010717,9.55194514,5.786786002
2.039165436,9.551672537,5.518745681
1.943215026,9.551399936,5.306397391
1.863854948,9.551127336,5.169209183
1.802728485,9.550854737,5.151841207
1.752116402,9.55058214,5.316633988
1.704252166,9.550309544,5.757815152
1.657318464,9.55003695,6.495282578
1.612120766,9.549764357,7.406149908
1.569198338,9.549491766,8.423271696
1.529461066,9.549219175,9.499999988
1.493697209,9.548946587,10.57563889
1.462766923,9.548674,11.58791076
1.437243563,9.548401414,12.48084212
1.418031199,9.548128829,13.1923973
1.405915808,9.547856246,13.66205619
1.403782667,9.547583665,13.84309077
1.420851895,9.547311085,13.73650571
1.461712588,9.547038506,13.42111944
1.532764159,9.546765929,12.89446943
1.620796119,9.546493353,12.26463316
1.723333164,9.546220778,11.55864757
1.839003458,9.545948205,10.79957839
1.966734502,9.545675634,10.04350938
2.097885116,9.545403064,9.337580088
2.230097455,9.545130495,8.697997793
2.360376736,9.544857928,8.192308053
2.48233248,9.544585362,7.896817647
2.601242448,9.544312798,7.750741679
2.718550634,9.544040235,7.759668685
2.856927043,9.543767673,7.934143997
3.002752685,9.543495113,8.164800759
3.154501736,9.543222555,8.445982734
3.309053979,9.542949997,8.785517571
3.45836249,9.542677442,9.144477372
3.600984879,9.542404887,9.508930971
3.731128068,9.542132334,9.86601168
3.838333081,9.541859783,10.18758125
3.918321911,9.541587233,10.45272693
3.972932306,9.541314685,10.65959394
3.998445464,9.541042137,10.79653014
3.992556954,9.540769592,10.86322237
3.976430758,9.540497048,10.91644464
3.952935264,9.540224505,10.96113542
3.921494925,9.539951964,10.99649714
3.88680433,9.539679424,11.02792112
3.85,9.539406885,11.05667421
3.813196047,9.539134349,11.08493888
3.778646941,9.538861813,11.11538971
3.748040676,9.538589279,11.14988801
3.723065246,9.538316747,11.19031535
3.70635962,9.538044216,11.23959344
3.700188509,9.537771686,11.30052819
3.704462619,9.537499158,11.39222721
3.715514555,9.537226631,11.52171928
3.731951391,9.536954106,11.68241093
3.752415997,9.536681582,11.86738938
3.775606888,9.53640906,12.07017754
3.8,9.536136539,12.28270552
3.824399822,9.53586402,12.49890533
3.847595099,9.535591502,12.71260721
3.868229818,9.535318985,12.91700479
3.883549812,9.535046471,13.09914291
3.893567275,9.534773957,13.25759691
3.899427166,9.534501445,13.39829848
3.898062535,9.534228934,13.51472602
3.893185291,9.533956425,13.6308224
3.885428944,9.533683918,13.74643493
3.874957722,9.533411412,13.85975175
3.861585302,9.533138907,13.96822316
3.845352953,9.532866404,14.06897633
3.826597294,9.532593902,14.16012187
